users,pic_like_status,userid_collection_date,pic_like_date
uitdaphneskeuken,True,2022-05-11,2022-05-11
anais151,True,2022-05-11,2022-05-11
tufs_tokyogaidai,True,2022-05-11,2022-05-11
shinkan_tufs_rfc,True,2022-05-11,2022-05-11
tufcommu,True,2022-05-11,2022-05-11
chankaewboy,True,2022-05-11,2022-05-11
hellovisits.todai,True,2022-05-11,2022-05-11
todaijapanesebox,True,2022-05-11,2022-05-11
libertadores_do_sul,True,2022-05-11,2022-05-11
kiboufusionstz,True,2022-05-11,2022-05-11
kyodaiburgers,True,2022-05-11,2022-05-11
